CustomerID,purchase_cnt,item_cnt,recency,user_total,user_average,unique_products,average_interval
17968,1,151,2010-12-01,265,265,1,0
13065,1,74,2010-12-01,206,206,1,0
15350,1,51,2010-12-01,116,116,1,0
18074,1,190,2010-12-01,490,490,1,0
14142,1,313,2010-12-01,312,312,1,0
14237,1,38,2010-12-01,161,161,1,0
16583,1,111,2010-12-01,233,233,1,0
18011,1,71,2010-12-01,103,103,1,0
13747,1,8,2010-12-01,80,80,1,0
17908,1,169,2010-12-01,232,232,1,0
17643,1,71,2010-12-01,102,102,1,0
12791,1,96,2010-12-01,178,178,1,0
14729,1,197,2010-12-01,313,313,1,0
16274,1,151,2010-12-01,332,332,1,0
15165,1,160,2010-12-01,488,488,1,0
16754,1,4280,2010-12-02,2002,2002,1,0
17547,1,-4,2010-12-02,-12,-12,1,0
13011,1,13,2010-12-02,51,51,1,0
12738,1,147,2010-12-02,137,137,1,0
13958,1,-23,2010-12-02,-102,-102,1,0
15070,1,36,2010-12-02,106,106,1,0
13108,1,298,2010-12-02,350,350,1,0
16752,1,54,2010-12-02,208,208,1,0
17732,1,93,2010-12-02,304,304,1,0
17855,1,197,2010-12-02,209,209,1,0
16510,1,92,2010-12-02,248,248,1,0
12855,1,30,2010-12-02,38,38,1,0
17976,1,93,2010-12-02,322,322,1,0
14576,1,12,2010-12-02,35,35,1,0
15923,1,122,2010-12-02,127,127,1,0
17925,1,72,2010-12-02,244,244,1,0
16995,1,-1,2010-12-02,-1,-1,1,0
14589,1,5,2010-12-03,40,40,1,0
17967,1,73,2010-12-03,112,112,1,0
16926,1,35,2010-12-03,230,230,1,0
12686,1,106,2010-12-03,71,71,1,0
14679,1,-1,2010-12-03,-3,-3,1,0
12725,1,162,2010-12-03,372,372,1,0
14213,1,-244,2010-12-03,-1192,-1192,1,0
16718,1,407,2010-12-05,606,606,1,0
16658,1,40,2010-12-06,123,123,1,0
16138,1,-1,2010-12-06,-8,-8,1,0
18113,1,72,2010-12-06,76,76,1,0
17860,1,93,2010-12-06,226,226,1,0
15899,1,39,2010-12-06,56,56,1,0
13807,1,36,2010-12-07,113,113,1,0
13786,1,136,2010-12-07,230,230,1,0
16125,1,124,2010-12-07,289,289,1,0
18119,1,124,2010-12-07,181,181,1,0
15180,1,36,2010-12-07,88,88,1,0
16252,1,-158,2010-12-08,-295,-295,1,0
16679,1,29,2010-12-08,130,130,1,0
15347,1,130,2010-12-08,202,202,1,0
12441,1,120,2010-12-08,156,156,1,0
12870,1,-2,2010-12-08,-15,-15,1,0
16893,1,62,2010-12-08,146,146,1,0
14821,1,20,2010-12-08,49,49,1,0
13270,1,200,2010-12-08,590,590,1,0
12605,1,-4,2010-12-09,-8,-8,1,0
14355,1,92,2010-12-09,174,174,1,0
17307,1,-144,2010-12-09,-153,-153,1,0
16065,1,228,2010-12-09,367,367,1,0
16579,1,-12,2010-12-09,-31,-31,1,0
14437,1,60,2010-12-09,63,63,1,0
17456,1,222,2010-12-09,250,250,1,0
16795,1,239,2010-12-09,415,415,1,0
15945,1,52,2010-12-09,181,181,1,0
14932,1,79,2010-12-09,314,314,1,0
17978,1,499,2010-12-09,301,301,1,0
17880,1,314,2010-12-10,459,459,1,0
15723,1,73,2010-12-10,191,191,1,0
14082,1,110,2010-12-10,182,182,1,0
16727,1,167,2010-12-10,256,256,1,0
16565,1,46,2010-12-10,174,174,1,0
14413,1,67,2010-12-12,121,121,1,0
17251,1,108,2010-12-12,270,270,1,0
15503,1,70,2010-12-12,141,141,1,0
18004,1,75,2010-12-12,158,158,1,0
15454,1,86,2010-12-12,179,179,1,0
16665,1,59,2010-12-12,135,135,1,0
17524,1,90,2010-12-13,145,145,1,0
17303,1,144,2010-12-13,250,250,1,0
15361,1,336,2010-12-13,419,419,1,0
17194,1,112,2010-12-14,227,227,1,0
16812,1,81,2010-12-14,479,479,1,0
16262,1,-5,2010-12-14,-32,-32,1,0
18141,1,-12,2010-12-14,-35,-35,1,0
16202,1,191,2010-12-14,365,365,1,0
13948,1,40,2010-12-14,102,102,1,0
17752,1,192,2010-12-15,81,81,1,0
18050,1,40,2010-12-15,74,74,1,0
13829,1,-12,2010-12-15,-102,-102,1,0
17525,1,82,2010-12-15,423,423,1,0
17551,1,142,2010-12-15,290,290,1,0
12666,1,-56,2010-12-15,-227,-227,1,0
13874,1,180,2010-12-16,540,540,1,0
17496,1,79,2010-12-16,271,271,1,0
15789,1,438,2010-12-16,351,351,1,0
14373,1,17,2010-12-16,77,77,1,0
13033,1,83,2010-12-17,191,191,1,0
15204,1,258,2010-12-17,317,317,1,0
12551,1,100,2010-12-17,168,168,1,0
15160,1,84,2010-12-17,158,158,1,0
17343,1,56,2010-12-19,194,194,1,0
18256,1,-70,2010-12-20,-50,-50,1,0
15460,1,107,2010-12-20,214,214,1,0
14119,1,-2,2010-12-20,-20,-20,1,0
12515,1,128,2010-12-21,279,279,1,0
16270,1,688,2010-12-21,1141,1141,1,0
12734,1,88,2010-12-22,110,110,1,0
13304,1,238,2010-12-23,300,300,1,0
15562,1,39,2010-12-23,135,135,1,0
13922,1,93,2010-12-23,172,172,1,0
16282,1,114,2011-01-04,168,168,1,0
15464,1,348,2011-01-05,1045,1045,1,0
15266,1,18,2011-01-05,119,119,1,0
15823,1,-282,2011-01-06,-812,-812,1,0
13187,1,95,2011-01-06,236,236,1,0
14889,1,90,2011-01-07,136,136,1,0
15607,1,202,2011-01-07,105,105,1,0
12489,1,103,2011-01-07,299,299,1,0
18032,1,42,2011-01-09,74,74,1,0
17128,1,76,2011-01-09,157,157,1,0
12651,1,78,2011-01-09,114,114,1,0
16850,1,249,2011-01-10,332,332,1,0
15326,1,386,2011-01-10,312,312,1,0
12736,1,168,2011-01-11,144,144,1,0
17569,1,159,2011-01-11,344,344,1,0
13144,1,21,2011-01-11,111,111,1,0
15346,1,144,2011-01-11,252,252,1,0
16351,1,90,2011-01-11,154,154,1,0
14185,1,6,2011-01-12,198,198,1,0
14270,1,197,2011-01-12,493,493,1,0
15447,1,85,2011-01-13,155,155,1,0
15510,1,2,2011-01-13,250,250,1,0
16315,1,75,2011-01-13,226,226,1,0
18106,1,126,2011-01-14,422,422,1,0
12672,1,78,2011-01-14,226,226,1,0
13385,1,281,2011-01-14,535,535,1,0
14238,1,111,2011-01-17,147,147,1,0
13859,1,129,2011-01-17,201,201,1,0
15316,1,100,2011-01-17,165,165,1,0
18212,1,92,2011-01-17,216,216,1,0
18233,1,4,2011-01-18,440,440,1,0
15395,1,17,2011-01-18,107,107,1,0
13898,1,133,2011-01-18,156,156,1,0
14090,1,72,2011-01-19,76,76,1,0
17862,1,100,2011-01-20,331,331,1,0
12402,1,92,2011-01-20,196,196,1,0
15262,1,73,2011-01-20,179,179,1,0
15174,1,145,2011-01-21,136,136,1,0
16387,1,44,2011-01-21,94,94,1,0
14068,1,73,2011-01-23,266,266,1,0
17714,1,92,2011-01-23,153,153,1,0
15167,1,65,2011-01-23,159,159,1,0
15820,1,128,2011-01-24,207,207,1,0
13551,1,12,2011-01-24,92,92,1,0
14439,1,526,2011-01-24,2661,2661,1,0
14782,1,114,2011-01-24,200,200,1,0
14130,1,257,2011-01-24,481,481,1,0
14368,1,36,2011-01-24,155,155,1,0
15052,1,79,2011-01-24,208,208,1,0
16757,1,81,2011-01-25,107,107,1,0
13703,1,10,2011-01-25,100,100,1,0
14248,1,102,2011-01-25,303,303,1,0
16222,1,325,2011-01-25,774,774,1,0
13002,1,73,2011-01-25,121,121,1,0
15222,1,440,2011-01-25,585,585,1,0
17118,1,154,2011-01-26,157,157,1,0
12591,1,225,2011-01-26,369,369,1,0
13328,1,680,2011-01-27,1308,1308,1,0
12764,1,386,2011-01-27,1694,1694,1,0
12574,1,59,2011-01-28,182,182,1,0
17431,1,292,2011-01-30,403,403,1,0
13161,1,29,2011-01-30,113,113,1,0
15415,1,551,2011-01-30,560,560,1,0
13600,1,324,2011-01-31,220,220,1,0
17619,1,124,2011-01-31,214,214,1,0
15448,1,232,2011-01-31,495,495,1,0
12373,1,196,2011-02-01,325,325,1,0
14627,1,-5,2011-02-01,-22,-22,1,0
14549,1,136,2011-02-01,289,289,1,0
13494,1,162,2011-02-01,316,316,1,0
17356,1,166,2011-02-01,178,178,1,0
15940,1,4,2011-02-01,36,36,1,0
14411,1,196,2011-02-02,1063,1063,1,0
12350,1,196,2011-02-02,294,294,1,0
15226,1,71,2011-02-02,154,154,1,0
14457,1,88,2011-02-02,114,114,1,0
13581,1,30,2011-02-03,118,118,1,0
16030,1,283,2011-02-03,331,331,1,0
13800,1,331,2011-02-03,558,558,1,0
17517,1,102,2011-02-04,154,154,1,0
17226,1,406,2011-02-04,393,393,1,0
17291,1,72,2011-02-04,551,551,1,0
15090,1,208,2011-02-04,381,381,1,0
14438,1,82,2011-02-06,132,132,1,0
13584,1,37,2011-02-06,142,142,1,0
12956,1,34,2011-02-06,108,108,1,0
13809,1,29,2011-02-07,155,155,1,0
14600,1,125,2011-02-07,393,393,1,0
17881,1,32,2011-02-08,133,133,1,0
15753,1,144,2011-02-08,79,79,1,0
17859,1,102,2011-02-08,142,142,1,0
15970,1,116,2011-02-09,314,314,1,0
17843,1,88,2011-02-09,198,198,1,0
12401,1,10,2011-02-09,69,69,1,0
15843,1,27,2011-02-09,119,119,1,0
13706,1,189,2011-02-10,331,331,1,0
12561,1,177,2011-02-10,239,239,1,0
16425,1,199,2011-02-10,303,303,1,0
15638,1,-52,2011-02-11,-94,-94,1,0
18159,1,139,2011-02-11,530,530,1,0
12943,1,-1,2011-02-11,-4,-4,1,0
16084,1,216,2011-02-13,436,436,1,0
15236,1,269,2011-02-14,321,321,1,0
17829,1,496,2011-02-14,889,889,1,0
14935,1,935,2011-02-15,1785,1785,1,0
16738,1,3,2011-02-15,4,4,1,0
13893,1,190,2011-02-15,821,821,1,0
15670,1,91,2011-02-16,173,173,1,0
16148,1,72,2011-02-16,76,76,1,0
